"Показник","Територіальний розріз","Вид сільськогосподарської техніки","Вид господарства","Періодичність","2018","2019"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Сінокосарки","Фермерські господарства","Річна","2602","2780"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Плуги","Підприємства","Річна","49924","51447"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Плуги","Фермерські господарства","Річна","18431","19654"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Техніка для післяурожайних робіт","Підприємства","Річна","20527","21591"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Техніка для післяурожайних робіт","Фермерські господарства","Річна","6727","7308"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Картоплесаджалки","Підприємства","Річна","1310","1305"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Картоплесаджалки","Фермерські господарства","Річна","679","701"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Прес-пакувальники, включаючи прес-підбирачі","Підприємства","Річна","8114","8226"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Прес-пакувальники, включаючи прес-підбирачі","Фермерські господарства","Річна","2153","2244"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Жатки валкові","Підприємства","Річна","15977","16862"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Жатки валкові","Фермерські господарства","Річна","5159","5620"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Розкидачі гною і добрив","Підприємства","Річна","22642","23878"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Розкидачі гною і добрив","Фермерські господарства","Річна","6559","7305"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Трактори","Підприємства","Річна","128697","130529"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Трактори","Фермерські господарства","Річна","40053","41783"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Трактори колісні","Підприємства","Річна","117244","119178"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Трактори колісні","Фермерські господарства","Річна","36814","38482"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Причепи та напівпричепи","Підприємства","Річна","63244","64800"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Причепи та напівпричепи","Фермерські господарства","Річна","14372","15017"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Мотоблоки","Підприємства","Річна","634","1011"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Мотоблоки","Фермерські господарства","Річна","347","666"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Водяні насоси і насосні станції","Підприємства","Річна","4476","5010"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Водяні насоси і насосні станції","Фермерські господарства","Річна","806","925"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Дощувальні машини","Підприємства","Річна","4501","4617"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Дощувальні машини","Фермерські господарства","Річна","796","863"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Комбайни і  машини бурякозбиральні (без машин для обрізання бурячиння)","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Комбайни і  машини бурякозбиральні (без машин для обрізання бурячиння)","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Комбайни льонозбиральні","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Комбайни кормозбиральні, включаючи причіпні","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Комбайни кормозбиральні, включаючи причіпні","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Комбайни зернозбиральні","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Комбайни зернозбиральні","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Комбайни кукурудзозбиральні","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Комбайни кукурудзозбиральні","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Комбайни картоплезбиральні, включаючи картоплекопачі","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Комбайни картоплезбиральні, включаючи картоплекопачі","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Молочні сепаратори","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Культиватори","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Культиватори","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Роздавачі кормів","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Роздавачі кормів","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Борони","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Борони","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Дискові борони","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Дискові борони","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Інкубатори","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Машини і механізми для приготування кормів","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Машини і механізми для приготування кормів","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Cівалки","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Cівалки","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Машини і комбайни  для збирання овочів і баштанних культур","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Машини і пристрої для поливу","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Машини і пристрої для поливу","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Транспортери для прибирання гною","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Транспортери для прибирання гною","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Доїльні  апарати","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Доїльні  апарати","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Доїльні установки","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Доїльні установки","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Очищувачі-охолоджувачі молока","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Очищувачі-охолоджувачі молока","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Сінокосарки","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Сінокосарки","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Плуги","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Плуги","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Техніка для післяурожайних робіт","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Техніка для післяурожайних робіт","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Картоплесаджалки","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Картоплесаджалки","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Прес-пакувальники, включаючи прес-підбирачі","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Прес-пакувальники, включаючи прес-підбирачі","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Жатки валкові","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Жатки валкові","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Розкидачі гною і добрив","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Розкидачі гною і добрив","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Трактори","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Трактори","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Трактори колісні","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Трактори колісні","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Причепи та напівпричепи","Підприємства","Річна","",""
