"Показник","Територіальний розріз","Вид сільськогосподарської техніки","Вид господарства","Періодичність","2018","2019"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Інкубатори","Підприємства","Річна","36","33"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","5330","5517"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","1576","1620"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Машини і механізми для приготування кормів","Підприємства","Річна","163","159"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Машини і механізми для приготування кормів","Фермерські господарства","Річна","40","43"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Cівалки","Підприємства","Річна","5661","5731"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Cівалки","Фермерські господарства","Річна","2481","2581"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Машини і комбайни  для збирання овочів і баштанних культур","Підприємства","Річна","19","19"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Машини і пристрої для поливу","Підприємства","Річна","109","110"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Машини і пристрої для поливу","Фермерські господарства","Річна","69","69"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Транспортери для прибирання гною","Підприємства","Річна","498","470"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Транспортери для прибирання гною","Фермерські господарства","Річна","77","69"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Доїльні  апарати","Підприємства","Річна","93","99"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Доїльні  апарати","Фермерські господарства","Річна","25","25"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Доїльні установки","Підприємства","Річна","133","133"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Доїльні установки","Фермерські господарства","Річна","22","21"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Очищувачі-охолоджувачі молока","Підприємства","Річна","45","47"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Очищувачі-охолоджувачі молока","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Сінокосарки","Підприємства","Річна","513","528"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Сінокосарки","Фермерські господарства","Річна","187","197"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Плуги","Підприємства","Річна","4740","4953"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Плуги","Фермерські господарства","Річна","2121","2243"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Техніка для післяурожайних робіт","Підприємства","Річна","1528","1598"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Техніка для післяурожайних робіт","Фермерські господарства","Річна","631","674"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Картоплесаджалки","Підприємства","Річна","53","53"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Картоплесаджалки","Фермерські господарства","Річна","23","23"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Прес-пакувальники, включаючи прес-підбирачі","Підприємства","Річна","587","593"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Прес-пакувальники, включаючи прес-підбирачі","Фермерські господарства","Річна","192","204"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Жатки валкові","Підприємства","Річна","1205","1246"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Жатки валкові","Фермерські господарства","Річна","569","597"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Розкидачі гною і добрив","Підприємства","Річна","1450","1617"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Розкидачі гною і добрив","Фермерські господарства","Річна","553","653"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Трактори","Підприємства","Річна","9357","9701"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Трактори","Фермерські господарства","Річна","3750","3888"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Трактори колісні","Підприємства","Річна","8305","8646"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Трактори колісні","Фермерські господарства","Річна","3377","3502"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Причепи та напівпричепи","Підприємства","Річна","3987","4129"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Причепи та напівпричепи","Фермерські господарства","Річна","1202","1256"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Мотоблоки","Підприємства","Річна","43","62"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Мотоблоки","Фермерські господарства","Річна","31","47"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Водяні насоси і насосні станції","Підприємства","Річна","172","186"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Водяні насоси і насосні станції","Фермерські господарства","Річна","41","48"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Дощувальні машини","Підприємства","Річна","36","44"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Кіровоградська","Дощувальні машини","Фермерські господарства","Річна","15","20"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Комбайни і  машини бурякозбиральні (без машин для обрізання бурячиння)","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Комбайни і  машини бурякозбиральні (без машин для обрізання бурячиння)","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Комбайни льонозбиральні","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Комбайни кормозбиральні, включаючи причіпні","Підприємства","Річна","139","124"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Комбайни кормозбиральні, включаючи причіпні","Фермерські господарства","Річна","19","19"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Комбайни зернозбиральні","Підприємства","Річна","1014","1029"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Комбайни зернозбиральні","Фермерські господарства","Річна","413","432"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Комбайни кукурудзозбиральні","Підприємства","Річна","56","48"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Комбайни кукурудзозбиральні","Фермерські господарства","Річна","7","7"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Комбайни картоплезбиральні, включаючи картоплекопачі","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Комбайни картоплезбиральні, включаючи картоплекопачі","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Молочні сепаратори","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Культиватори","Підприємства","Річна","2774","2782"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Культиватори","Фермерські господарства","Річна","1079","1118"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Роздавачі кормів","Підприємства","Річна","136","129"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Роздавачі кормів","Фермерські господарства","Річна","34","35"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Борони","Підприємства","Річна","3021","3074"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Борони","Фермерські господарства","Річна","899","1009"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Дискові борони","Підприємства","Річна","986","1036"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Дискові борони","Фермерські господарства","Річна","475","516"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Інкубатори","Підприємства","Річна","4","4"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","2177","2191"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","658","667"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Машини і механізми для приготування кормів","Підприємства","Річна","70","74"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Машини і механізми для приготування кормів","Фермерські господарства","Річна","19","20"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Cівалки","Підприємства","Річна","2634","2741"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Cівалки","Фермерські господарства","Річна","1063","1125"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Машини і комбайни  для збирання овочів і баштанних культур","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Машини і пристрої для поливу","Підприємства","Річна","14","14"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Машини і пристрої для поливу","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Транспортери для прибирання гною","Підприємства","Річна","243","244"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Транспортери для прибирання гною","Фермерські господарства","Річна","45","49"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Доїльні  апарати","Підприємства","Річна","89","80"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Доїльні  апарати","Фермерські господарства","Річна","14","14"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Доїльні установки","Підприємства","Річна","109","108"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Доїльні установки","Фермерські господарства","Річна","20","20"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Очищувачі-охолоджувачі молока","Підприємства","Річна","25","27"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Очищувачі-охолоджувачі молока","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Сінокосарки","Підприємства","Річна","364","388"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Сінокосарки","Фермерські господарства","Річна","183","203"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Плуги","Підприємства","Річна","1307","1370"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Плуги","Фермерські господарства","Річна","551","584"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Техніка для післяурожайних робіт","Підприємства","Річна","488","515"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Техніка для післяурожайних робіт","Фермерські господарства","Річна","203","218"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Картоплесаджалки","Підприємства","Річна","10","9"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Картоплесаджалки","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Прес-пакувальники, включаючи прес-підбирачі","Підприємства","Річна","171","171"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Прес-пакувальники, включаючи прес-підбирачі","Фермерські господарства","Річна","67","70"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Жатки валкові","Підприємства","Річна","568","604"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Жатки валкові","Фермерські господарства","Річна","244","271"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Розкидачі гною і добрив","Підприємства","Річна","434","418"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Розкидачі гною і добрив","Фермерські господарства","Річна","162","173"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Трактори","Підприємства","Річна","4049","4104"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Трактори","Фермерські господарства","Річна","1531","1586"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Трактори колісні","Підприємства","Річна","3625","3691"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Трактори колісні","Фермерські господарства","Річна","1396","1449"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Причепи та напівпричепи","Підприємства","Річна","1981","2017"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Причепи та напівпричепи","Фермерські господарства","Річна","602","614"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Мотоблоки","Підприємства","Річна","6","6"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Мотоблоки","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Водяні насоси і насосні станції","Підприємства","Річна","114","125"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Водяні насоси і насосні станції","Фермерські господарства","Річна","28","30"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Дощувальні машини","Підприємства","Річна","10","14"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Луганська","Дощувальні машини","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Комбайни і  машини бурякозбиральні (без машин для обрізання бурячиння)","Підприємства","Річна","27","25"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Комбайни і  машини бурякозбиральні (без машин для обрізання бурячиння)","Фермерські господарства","Річна","6","6"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Комбайни льонозбиральні","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Комбайни кормозбиральні, включаючи причіпні","Підприємства","Річна","50","48"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Комбайни кормозбиральні, включаючи причіпні","Фермерські господарства","Річна","14","14"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Комбайни зернозбиральні","Підприємства","Річна","545","551"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Комбайни зернозбиральні","Фермерські господарства","Річна","201","226"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Комбайни кукурудзозбиральні","Підприємства","Річна","6","6"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Комбайни кукурудзозбиральні","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Комбайни картоплезбиральні, включаючи картоплекопачі","Підприємства","Річна","67","50"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Комбайни картоплезбиральні, включаючи картоплекопачі","Фермерські господарства","Річна","32","34"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Молочні сепаратори","Підприємства","Річна","10","9"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Культиватори","Підприємства","Річна","918","926"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Культиватори","Фермерські господарства","Річна","297","316"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Роздавачі кормів","Підприємства","Річна","385","396"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Роздавачі кормів","Фермерські господарства","Річна","17","23"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Борони","Підприємства","Річна","1120","1132"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Борони","Фермерські господарства","Річна","358","373"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Дискові борони","Підприємства","Річна","485","505"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Дискові борони","Фермерські господарства","Річна","204","221"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Інкубатори","Підприємства","Річна","29","41"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","1834","1759"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","311","315"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Машини і механізми для приготування кормів","Підприємства","Річна","114","124"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Машини і механізми для приготування кормів","Фермерські господарства","Річна","29","30"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Cівалки","Підприємства","Річна","738","725"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Cівалки","Фермерські господарства","Річна","253","263"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Машини і комбайни  для збирання овочів і баштанних культур","Підприємства","Річна","13","12"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Машини і пристрої для поливу","Підприємства","Річна","48","58"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Машини і пристрої для поливу","Фермерські господарства","Річна","20","22"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Транспортери для прибирання гною","Підприємства","Річна","187","185"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Транспортери для прибирання гною","Фермерські господарства","Річна","24","37"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Доїльні  апарати","Підприємства","Річна","157","163"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Доїльні  апарати","Фермерські господарства","Річна","79","77"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Доїльні установки","Підприємства","Річна","72","63"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Доїльні установки","Фермерські господарства","Річна","24","23"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Очищувачі-охолоджувачі молока","Підприємства","Річна","33","33"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Очищувачі-охолоджувачі молока","Фермерські господарства","Річна","14","15"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Сінокосарки","Підприємства","Річна","186","182"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Сінокосарки","Фермерські господарства","Річна","69","70"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Плуги","Підприємства","Річна","830","830"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Плуги","Фермерські господарства","Річна","354","370"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Техніка для післяурожайних робіт","Підприємства","Річна","337","365"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Техніка для післяурожайних робіт","Фермерські господарства","Річна","138","153"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Картоплесаджалки","Підприємства","Річна","69","54"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Картоплесаджалки","Фермерські господарства","Річна","42","43"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Прес-пакувальники, включаючи прес-підбирачі","Підприємства","Річна","120","119"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Прес-пакувальники, включаючи прес-підбирачі","Фермерські господарства","Річна","47","50"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Жатки валкові","Підприємства","Річна","293","311"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Жатки валкові","Фермерські господарства","Річна","44","53"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Розкидачі гною і добрив","Підприємства","Річна","577","576"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Розкидачі гною і добрив","Фермерські господарства","Річна","174","194"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Трактори","Підприємства","Річна","2359","2317"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Трактори","Фермерські господарства","Річна","818","854"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Трактори колісні","Підприємства","Річна","2152","2095"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Трактори колісні","Фермерські господарства","Річна","730","763"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Причепи та напівпричепи","Підприємства","Річна","1529","1432"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Причепи та напівпричепи","Фермерські господарства","Річна","362","379"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Мотоблоки","Підприємства","Річна","13","14"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Мотоблоки","Фермерські господарства","Річна","7","7"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Водяні насоси і насосні станції","Підприємства","Річна","75","96"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Водяні насоси і насосні станції","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Дощувальні машини","Підприємства","Річна","12","6"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Львівська","Дощувальні машини","Фермерські господарства","Річна","",""
