"Показник","Територіальний розріз","Категорія розрізу","Розріз","Періодичність","2017","2018","2019","2020","2021","2022"
"Проміжне споживання у сільському господарстві (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Проміжне споживання, сільськогосподарські послуги","Річна","8998","12764","13097","13457","21615",""
"Проміжне споживання у сільському господарстві (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Проміжне споживання, корми - всього","Річна","134935","161856","157248","169125","210192",""
"Проміжне споживання у сільському господарстві (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Проміжне споживання, мінеральні добрива та засоби поліпшення земель","Річна","67397","79228","88151","86314","145645",""
"Проміжне споживання у сільському господарстві (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Проміжне споживання, оплата послуг фінансових посередників","Річна","1980","1653","1771","1517","2267",""
"Проміжне споживання у сільському господарстві (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Проміжне споживання, паливомастильні матеріали, електроенергія","Річна","58970","72971","69389","66487","113294",""
"Проміжне споживання у сільському господарстві (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Проміжне споживання, обслуговування споруд (поточний ремонт, будівельні  матеріали для ремонту тощо)","Річна","7799","9428","7546","7146","14175",""
"Проміжне споживання у сільському господарстві (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Проміжне споживання, обслуговування матеріалів (запчастини, матеріали для ремонту тощо)","Річна","22940","26719","26988","27826","47236",""
"Проміжне споживання у сільському господарстві (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Проміжне споживання, інші товари та послуги","Річна","30396","39701","39615","40958","71756",""
"Проміжне споживання у сільському господарстві (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Проміжне споживання, продукція захисту рослин, гербіциди, інсектициди, пестициди","Річна","29485","34919","34192","34585","62632",""
"Проміжне споживання у сільському господарстві (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Проміжне споживання, насіння та посадковий  матеріал","Річна","48479","57317","57269","60376","96782",""
"Проміжне споживання у сільському господарстві (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Проміжне споживання, ветеринарні послуги","Річна","3251","3530","3478","3669","4041",""
"Проміжне споживання у сільському господарстві (у фактичних цінах)","Україна","Загалом","Загалом","Річна","414630","500086","498744","511460","789635",""
" Рахунки виробництва та утворення доходу у сільському господарстві (у фактичних цінах)","Україна","Елементи рахунків","Оплата праці найманих працівників  у сільському господарстві","Річна","52810","71483","79145","86924","128342",""
" Рахунки виробництва та утворення доходу у сільському господарстві (у фактичних цінах)","Україна","Елементи рахунків","Споживання основного капіталу у сільському господарстві у фактичних цінах","Річна","23162","29369","35375","42309","49713",""
" Рахунки виробництва та утворення доходу у сільському господарстві (у фактичних цінах)","Україна","Елементи рахунків","Факторний дохід у сільському господарстві","Річна","273164","318321","308612","340277","529637",""
" Рахунки виробництва та утворення доходу у сільському господарстві (у фактичних цінах)","Україна","Елементи рахунків","Валова додана вартість у сільському господарстві у фактичних цінах","Річна","293162","347501","344023","381392","576821",""
" Рахунки виробництва та утворення доходу у сільському господарстві (у фактичних цінах)","Україна","Елементи рахунків","Чиста додана вартість у сільському господарстві у фактичних цінах","Річна","270000","318132","308648","339083","527108",""
" Рахунки виробництва та утворення доходу у сільському господарстві (у фактичних цінах)","Україна","Елементи рахунків","Чистий поточний прибуток/змішаний дохід у сільському господарстві","Річна","220354","246838","229467","253353","401295",""
" Рахунки виробництва та утворення доходу у сільському господарстві (у фактичних цінах)","Україна","Елементи рахунків","Інші субсидії, пов'язані з виробництвом,  у сільському господарстві","Річна","5841","3051","2885","4977","5581",""
" Рахунки виробництва та утворення доходу у сільському господарстві (у фактичних цінах)","Україна","Елементи рахунків","Інші податки, пов'язані з виробництвом, у сільському господарстві","Річна","2677","2862","2921","3783","3052",""
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Інші технічні культури","Річна","646","725","427","538","3591","6878"
