Region,Crop_Eng,Yield,Average_soil_moisture,Drought,Yield_norm,Moisture_norm,Drought_norm,SCOR,SCOR_norm,Fert_SCOR,Cost_SCOR
Cherkaska oblast,Barley,38.96820652173913,16.828426421392045,0.0,0.6519989936041475,0.4126569135523228,1.0,0.31178136428117653,0.5160137797590524,0.2920999999999999,0.04025384750763
Cherkaska oblast,Barley,38.96820652173913,16.828426421392045,0.0,0.6519989936041475,0.4126569135523228,1.0,0.31178136428117653,0.5160137797590524,0.974,0.04025384750763
Cherkaska oblast,Barley,38.96820652173913,16.828426421392045,0.0,0.6519989936041475,0.4126569135523228,1.0,0.31178136428117653,0.5160137797590524,0.34548,0.04025384750763
Cherkaska oblast,Barley,38.96820652173913,16.828426421392045,0.0,0.6519989936041475,0.4126569135523228,1.0,0.31178136428117653,0.5160137797590524,0.3494199999999999,0.04025384750763
Cherkaska oblast,Barley,38.96820652173913,16.828426421392045,0.0,0.6519989936041475,0.4126569135523228,1.0,0.31178136428117653,0.5160137797590524,0.0347,0.04025384750763
Cherkaska oblast,Barley,38.96820652173913,16.828426421392045,0.0,0.6519989936041475,0.4126569135523228,1.0,0.31178136428117653,0.5160137797590524,0.03698,0.04025384750763
Cherkaska oblast,Maize,70.95945652173913,16.828426421392045,0.0,0.6860741290812689,0.4126569135523228,1.0,0.3004229857888028,0.4938385200226786,0.26192,0.7038330093081883
Cherkaska oblast,Maize,70.95945652173913,16.828426421392045,0.0,0.6860741290812689,0.4126569135523228,1.0,0.3004229857888028,0.4938385200226786,0.96654,0.7038330093081883
Cherkaska oblast,Maize,70.95945652173913,16.828426421392045,0.0,0.6860741290812689,0.4126569135523228,1.0,0.3004229857888028,0.4938385200226786,0.3518799999999999,0.7038330093081883
Cherkaska oblast,Maize,70.95945652173913,16.828426421392045,0.0,0.6860741290812689,0.4126569135523228,1.0,0.3004229857888028,0.4938385200226786,0.35588,0.7038330093081883
Cherkaska oblast,Maize,70.95945652173913,16.828426421392045,0.0,0.6860741290812689,0.4126569135523228,1.0,0.3004229857888028,0.4938385200226786,0.0377,0.7038330093081883
Cherkaska oblast,Maize,70.95945652173913,16.828426421392045,0.0,0.6860741290812689,0.4126569135523228,1.0,0.3004229857888028,0.4938385200226786,0.03994,0.7038330093081883
Cherkaska oblast,Potato,158.24755434782608,16.828426421392045,0.0,0.6011493566339667,0.4126569135523228,1.0,0.3287312432712368,0.5491054723238897,0.01446,0.0098511701695311
Cherkaska oblast,Potato,158.24755434782608,16.828426421392045,0.0,0.6011493566339667,0.4126569135523228,1.0,0.3287312432712368,0.5491054723238897,0.81538,0.0098511701695311
Cherkaska oblast,Potato,158.24755434782608,16.828426421392045,0.0,0.6011493566339667,0.4126569135523228,1.0,0.3287312432712368,0.5491054723238897,0.54608,0.0098511701695311
Cherkaska oblast,Potato,158.24755434782608,16.828426421392045,0.0,0.6011493566339667,0.4126569135523228,1.0,0.3287312432712368,0.5491054723238897,0.56806,0.0098511701695311
Cherkaska oblast,Potato,158.24755434782608,16.828426421392045,0.0,0.6011493566339667,0.4126569135523228,1.0,0.3287312432712368,0.5491054723238897,0.19544,0.0098511701695311
Cherkaska oblast,Potato,158.24755434782608,16.828426421392045,0.0,0.6011493566339667,0.4126569135523228,1.0,0.3287312432712368,0.5491054723238897,0.2074399999999999,0.0098511701695311
Cherkaska oblast,Soybean,20.088423913043478,16.828426421392045,0.0,0.521357252097805,0.4126569135523228,1.0,0.35532861144995737,0.6010322106398472,0.1282599999999999,0.0854240420219897
Cherkaska oblast,Soybean,20.088423913043478,16.828426421392045,0.0,0.521357252097805,0.4126569135523228,1.0,0.35532861144995737,0.6010322106398472,0.93206,0.0854240420219897
Cherkaska oblast,Soybean,20.088423913043478,16.828426421392045,0.0,0.521357252097805,0.4126569135523228,1.0,0.35532861144995737,0.6010322106398472,0.34412,0.0854240420219897
Cherkaska oblast,Soybean,20.088423913043478,16.828426421392045,0.0,0.521357252097805,0.4126569135523228,1.0,0.35532861144995737,0.6010322106398472,0.3655199999999999,0.0854240420219897
Cherkaska oblast,Soybean,20.088423913043478,16.828426421392045,0.0,0.521357252097805,0.4126569135523228,1.0,0.35532861144995737,0.6010322106398472,0.0882199999999999,0.0854240420219897
Cherkaska oblast,Soybean,20.088423913043478,16.828426421392045,0.0,0.521357252097805,0.4126569135523228,1.0,0.35532861144995737,0.6010322106398472,0.09264,0.0854240420219897
Cherkaska oblast,Sunflower,29.012989130434782,16.828426421392045,0.0,0.8161054429718612,0.4126569135523228,1.0,0.25707921449193866,0.40921734041440194,0.21494,0.3251456391253175
Cherkaska oblast,Sunflower,29.012989130434782,16.828426421392045,0.0,0.8161054429718612,0.4126569135523228,1.0,0.25707921449193866,0.40921734041440194,0.93674,0.3251456391253175
Cherkaska oblast,Sunflower,29.012989130434782,16.828426421392045,0.0,0.8161054429718612,0.4126569135523228,1.0,0.25707921449193866,0.40921734041440194,0.33464,0.3251456391253175
Cherkaska oblast,Sunflower,29.012989130434782,16.828426421392045,0.0,0.8161054429718612,0.4126569135523228,1.0,0.25707921449193866,0.40921734041440194,0.33978,0.3251456391253175
Cherkaska oblast,Sunflower,29.012989130434782,16.828426421392045,0.0,0.8161054429718612,0.4126569135523228,1.0,0.25707921449193866,0.40921734041440194,0.06564,0.3251456391253175
Cherkaska oblast,Sunflower,29.012989130434782,16.828426421392045,0.0,0.8161054429718612,0.4126569135523228,1.0,0.25707921449193866,0.40921734041440194,0.0685,0.3251456391253175
