nameEng,nameUa,value
Kyivska oblast',Київська область,24.5
Zhytomyrska oblast',Житомирська область,23.8
Dnipropetrovska oblast',Дніпропетровська область,16.3
Vinnytska oblast',Вінницька область,26.8
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,28.9
Chernivetska oblast',Чернівецька область,26.3
Cherkaska oblast',Черкаська область,24.5
Khmelnytska oblast',Хмельницька область,32.4
Khersonska oblast',Херсонська область,15.9
Kharkivska oblast',Харківська область,22.4
Sumska oblast',Сумська область,31.3
Poltavska oblast',Полтавська область,25.4
Odeska oblast',Одеська область,12.7
Mykolaivska oblast',Миколаївська область,13.5
Luhanska oblast',Луганська область,16.8
Kirovohradska oblast',Кіровоградська область,16.9
Zaporizka oblast',Запорізька область,15.7
Lvivska oblast',Львівська область,27
Ternopilska oblast',Тернопільська область,31.8
Rivnenska oblast',Рівненська область,26.9
Volynska oblast',Волинська область,25.5
Donetska oblast',Донецька область,17.2
Ivano-Frankivska oblast',Івано-Франківська область,27.4
Zakarpatska oblast',Закарпатська область,20.4
