nameEng,nameUa,value
Kyivska oblast',Київська область,35.1
Zhytomyrska oblast',Житомирська область,34.7
Dnipropetrovska oblast',Дніпропетровська область,26.6
Vinnytska oblast',Вінницька область,44.3
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,42.1
Chernivetska oblast',Чернівецька область,39.7
Cherkaska oblast',Черкаська область,34.6
Khmelnytska oblast',Хмельницька область,50.6
Khersonska oblast',Херсонська область,26.3
Kharkivska oblast',Харківська область,34.7
Sumska oblast',Сумська область,38.8
Poltavska oblast',Полтавська область,33.1
Odeska oblast',Одеська область,34.7
Mykolaivska oblast',Миколаївська область,26.8
Luhanska oblast',Луганська область,24.8
Kirovohradska oblast',Кіровоградська область,27
Zaporizka oblast',Запорізька область,25.9
Lvivska oblast',Львівська область,49.1
Ternopilska oblast',Тернопільська область,50.7
Rivnenska oblast',Рівненська область,41.2
Volynska oblast',Волинська область,33.9
Donetska oblast',Донецька область,29.8
Ivano-Frankivska oblast',Івано-Франківська область,45.9
Zakarpatska oblast',Закарпатська область,28.4
