nameEng,nameUa,value
Kyivska oblast',Київська область,46.7
Zhytomyrska oblast',Житомирська область,41.6
Dnipropetrovska oblast',Дніпропетровська область,30
Vinnytska oblast',Вінницька область,51.5
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,41.3
Chernivetska oblast',Чернівецька область,43.7
Cherkaska oblast',Черкаська область,48.3
Khmelnytska oblast',Хмельницька область,54.4
Khersonska oblast',Херсонська область,31.5
Kharkivska oblast',Харківська область,33.7
Sumska oblast',Сумська область,50
Poltavska oblast',Полтавська область,42.9
Odeska oblast',Одеська область,37.3
Mykolaivska oblast',Миколаївська область,31.2
Luhanska oblast',Луганська область,29.3
Kirovohradska oblast',Кіровоградська область,36.2
Zaporizka oblast',Запорізька область,25.8
Lvivska oblast',Львівська область,45.5
Ternopilska oblast',Тернопільська область,51.2
Rivnenska oblast',Рівненська область,45
Volynska oblast',Волинська область,42.8
Donetska oblast',Донецька область,27.1
Ivano-Frankivska oblast',Івано-Франківська область,45
Zakarpatska oblast',Закарпатська область,30.7
