nameEng,nameUa,value
Kyivska oblast',Київська область,44.4
Zhytomyrska oblast',Житомирська область,37.6
Dnipropetrovska oblast',Дніпропетровська область,25.1
Vinnytska oblast',Вінницька область,47.1
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,37
Chernivetska oblast',Чернівецька область,32.1
Cherkaska oblast',Черкаська область,40.8
Khmelnytska oblast',Хмельницька область,47.3
Khersonska oblast',Херсонська область,27.6
Kharkivska oblast',Харківська область,31.4
Sumska oblast',Сумська область,29.5
Poltavska oblast',Полтавська область,32.6
Odeska oblast',Одеська область,35.4
Mykolaivska oblast',Миколаївська область,27.6
Luhanska oblast',Луганська область,23.3
Kirovohradska oblast',Кіровоградська область,31.6
Zaporizka oblast',Запорізька область,26.4
Lvivska oblast',Львівська область,46.2
Ternopilska oblast',Тернопільська область,45.6
Rivnenska oblast',Рівненська область,40.6
Volynska oblast',Волинська область,31.2
Donetska oblast',Донецька область,26.4
Ivano-Frankivska oblast',Івано-Франківська область,44
Zakarpatska oblast',Закарпатська область,28.9
