nameEng,nameUa,value
Kyivska oblast',Київська область,74.1
Zhytomyrska oblast',Житомирська область,81.1
Dnipropetrovska oblast',Дніпропетровська область,35.3
Vinnytska oblast',Вінницька область,84.7
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,79
Chernivetska oblast',Чернівецька область,48.4
Cherkaska oblast',Черкаська область,75.5
Khmelnytska oblast',Хмельницька область,75.1
Khersonska oblast',Херсонська область,65
Kharkivska oblast',Харківська область,56.6
Sumska oblast',Сумська область,83.2
Poltavska oblast',Полтавська область,77.4
Odeska oblast',Одеська область,38.1
Mykolaivska oblast',Миколаївська область,39
Luhanska oblast',Луганська область,36.3
Kirovohradska oblast',Кіровоградська область,56.8
Zaporizka oblast',Запорізька область,29.2
Lvivska oblast',Львівська область,70.1
Ternopilska oblast',Тернопільська область,73.8
Rivnenska oblast',Рівненська область,80.8
Volynska oblast',Волинська область,70.1
Donetska oblast',Донецька область,29.6
Ivano-Frankivska oblast',Івано-Франківська область,69.6
Zakarpatska oblast',Закарпатська область,54.7
