nameEng,nameUa,value
Kyivska oblast',Київська область,23.6
Zhytomyrska oblast',Житомирська область,26.7
Dnipropetrovska oblast',Дніпропетровська область,17.3
Vinnytska oblast',Вінницька область,28.4
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,25.5
Chernivetska oblast',Чернівецька область,26.8
Cherkaska oblast',Черкаська область,24.5
Khmelnytska oblast',Хмельницька область,30.7
Khersonska oblast',Херсонська область,34.2
Kharkivska oblast',Харківська область,17.9
Sumska oblast',Сумська область,19.6
Poltavska oblast',Полтавська область,20.3
Odeska oblast',Одеська область,24.5
Mykolaivska oblast',Миколаївська область,20.5
Luhanska oblast',Луганська область,-1
Kirovohradska oblast',Кіровоградська область,22.1
Zaporizka oblast',Запорізька область,34.7
Lvivska oblast',Львівська область,29.9
Ternopilska oblast',Тернопільська область,30.5
Rivnenska oblast',Рівненська область,26
Volynska oblast',Волинська область,27.2
Donetska oblast',Донецька область,-1
Ivano-Frankivska oblast',Івано-Франківська область,29.2
Zakarpatska oblast',Закарпатська область,22.6
