nameEng,nameUa,value
Kyivska oblast',Київська область,17.2
Zhytomyrska oblast',Житомирська область,23.6
Dnipropetrovska oblast',Дніпропетровська область,12
Vinnytska oblast',Вінницька область,20.1
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,20.5
Chernivetska oblast',Чернівецька область,18.2
Cherkaska oblast',Черкаська область,16.1
Khmelnytska oblast',Хмельницька область,24.7
Khersonska oblast',Херсонська область,29.7
Kharkivska oblast',Харківська область,10.6
Sumska oblast',Сумська область,18.5
Poltavska oblast',Полтавська область,14.4
Odeska oblast',Одеська область,21.4
Mykolaivska oblast',Миколаївська область,11.1
Luhanska oblast',Луганська область,4.7
Kirovohradska oblast',Кіровоградська область,11.3
Zaporizka oblast',Запорізька область,25.7
Lvivska oblast',Львівська область,23.1
Ternopilska oblast',Тернопільська область,26.2
Rivnenska oblast',Рівненська область,24.8
Volynska oblast',Волинська область,22
Donetska oblast',Донецька область,3.7
Ivano-Frankivska oblast',Івано-Франківська область,25.2
Zakarpatska oblast',Закарпатська область,37.2
