nameEng,nameUa,value
Kyivska oblast',Київська область,35.7
Zhytomyrska oblast',Житомирська область,32.3
Dnipropetrovska oblast',Дніпропетровська область,21
Vinnytska oblast',Вінницька область,37.5
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,39.2
Chernivetska oblast',Чернівецька область,31.7
Cherkaska oblast',Черкаська область,36.1
Khmelnytska oblast',Хмельницька область,42.8
Khersonska oblast',Херсонська область,25.1
Kharkivska oblast',Харківська область,30.8
Sumska oblast',Сумська область,40.1
Poltavska oblast',Полтавська область,33.5
Odeska oblast',Одеська область,33.1
Mykolaivska oblast',Миколаївська область,24.5
Luhanska oblast',Луганська область,19
Kirovohradska oblast',Кіровоградська область,26.9
Zaporizka oblast',Запорізька область,18.8
Lvivska oblast',Львівська область,46.5
Ternopilska oblast',Тернопільська область,43.2
Rivnenska oblast',Рівненська область,38.5
Volynska oblast',Волинська область,33
Donetska oblast',Донецька область,17.1
Ivano-Frankivska oblast',Івано-Франківська область,39.4
Zakarpatska oblast',Закарпатська область,26
