nameEng,nameUa,value
Kyivska oblast',Київська область,51
Zhytomyrska oblast',Житомирська область,44.9
Dnipropetrovska oblast',Дніпропетровська область,34.6
Vinnytska oblast',Вінницька область,57.1
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,42.2
Chernivetska oblast',Чернівецька область,39
Cherkaska oblast',Черкаська область,52.6
Khmelnytska oblast',Хмельницька область,55.7
Khersonska oblast',Херсонська область,35.2
Kharkivska oblast',Харківська область,44.5
Sumska oblast',Сумська область,42.3
Poltavska oblast',Полтавська область,45.1
Odeska oblast',Одеська область,38.5
Mykolaivska oblast',Миколаївська область,36.1
Luhanska oblast',Луганська область,35.8
Kirovohradska oblast',Кіровоградська область,41.1
Zaporizka oblast',Запорізька область,31.6
Lvivska oblast',Львівська область,46.6
Ternopilska oblast',Тернопільська область,49.2
Rivnenska oblast',Рівненська область,44.3
Volynska oblast',Волинська область,42.1
Donetska oblast',Донецька область,37.6
Ivano-Frankivska oblast',Івано-Франківська область,47.5
Zakarpatska oblast',Закарпатська область,34.5
