nameEng,nameUa,value
Kyivska oblast',Київська область,40.5
Zhytomyrska oblast',Житомирська область,39.8
Dnipropetrovska oblast',Дніпропетровська область,32.5
Vinnytska oblast',Вінницька область,46.1
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,39.4
Chernivetska oblast',Чернівецька область,36.6
Cherkaska oblast',Черкаська область,41.7
Khmelnytska oblast',Хмельницька область,44.7
Khersonska oblast',Херсонська область,38.8
Kharkivska oblast',Харківська область,36.9
Sumska oblast',Сумська область,39.1
Poltavska oblast',Полтавська область,36.4
Odeska oblast',Одеська область,40.5
Mykolaivska oblast',Миколаївська область,37.7
Luhanska oblast',Луганська область,27.7
Kirovohradska oblast',Кіровоградська область,40.4
Zaporizka oblast',Запорізька область,35.2
Lvivska oblast',Львівська область,47.7
Ternopilska oblast',Тернопільська область,44.8
Rivnenska oblast',Рівненська область,38.2
Volynska oblast',Волинська область,33.9
Donetska oblast',Донецька область,30.1
Ivano-Frankivska oblast',Івано-Франківська область,43.5
Zakarpatska oblast',Закарпатська область,29.3
