nameEng,nameUa,value
Kyivska oblast',Київська область,50.6
Zhytomyrska oblast',Житомирська область,46.5
Dnipropetrovska oblast',Дніпропетровська область,44
Vinnytska oblast',Вінницька область,55.7
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,49.7
Chernivetska oblast',Чернівецька область,50.1
Cherkaska oblast',Черкаська область,53.9
Khmelnytska oblast',Хмельницька область,60.1
Khersonska oblast',Херсонська область,41.2
Kharkivska oblast',Харківська область,48
Sumska oblast',Сумська область,47.5
Poltavska oblast',Полтавська область,48.3
Odeska oblast',Одеська область,39
Mykolaivska oblast',Миколаївська область,42.3
Luhanska oblast',Луганська область,38.4
Kirovohradska oblast',Кіровоградська область,48.7
Zaporizka oblast',Запорізька область,38.4
Lvivska oblast',Львівська область,49.3
Ternopilska oblast',Тернопільська область,55.4
Rivnenska oblast',Рівненська область,47
Volynska oblast',Волинська область,43.4
Donetska oblast',Донецька область,40.7
Ivano-Frankivska oblast',Івано-Франківська область,49.7
Zakarpatska oblast',Закарпатська область,33.6
