nameEng,nameUa,value
Kyivska oblast',Київська область,42.8
Zhytomyrska oblast',Житомирська область,41.1
Dnipropetrovska oblast',Дніпропетровська область,38.6
Vinnytska oblast',Вінницька область,42.7
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,47.6
Chernivetska oblast',Чернівецька область,36.9
Cherkaska oblast',Черкаська область,43.5
Khmelnytska oblast',Хмельницька область,45.9
Khersonska oblast',Херсонська область,31.9
Kharkivska oblast',Харківська область,50.5
Sumska oblast',Сумська область,52.3
Poltavska oblast',Полтавська область,44.8
Odeska oblast',Одеська область,17.8
Mykolaivska oblast',Миколаївська область,27
Luhanska oblast',Луганська область,37.8
Kirovohradska oblast',Кіровоградська область,36
Zaporizka oblast',Запорізька область,31
Lvivska oblast',Львівська область,44.9
Ternopilska oblast',Тернопільська область,47
Rivnenska oblast',Рівненська область,43.8
Volynska oblast',Волинська область,44.1
Donetska oblast',Донецька область,39.3
Ivano-Frankivska oblast',Івано-Франківська область,44.2
Zakarpatska oblast',Закарпатська область,34
