nameEng,nameUa,value
Kyivska oblast',Київська область,179.9
Zhytomyrska oblast',Житомирська область,205.6
Dnipropetrovska oblast',Дніпропетровська область,106.9
Vinnytska oblast',Вінницька область,173.9
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,186
Chernivetska oblast',Чернівецька область,176.8
Cherkaska oblast',Черкаська область,147.7
Khmelnytska oblast',Хмельницька область,209
Khersonska oblast',Херсонська область,110.4
Kharkivska oblast',Харківська область,175.1
Sumska oblast',Сумська область,186.2
Poltavska oblast',Полтавська область,184.6
Odeska oblast',Одеська область,111.5
Mykolaivska oblast',Миколаївська область,96.8
Luhanska oblast',Луганська область,189.6
Kirovohradska oblast',Кіровоградська область,128
Zaporizka oblast',Запорізька область,100.2
Lvivska oblast',Львівська область,178.9
Ternopilska oblast',Тернопільська область,175.6
Rivnenska oblast',Рівненська область,184.3
Volynska oblast',Волинська область,156.8
Donetska oblast',Донецька область,126.1
Ivano-Frankivska oblast',Івано-Франківська область,169.1
Zakarpatska oblast',Закарпатська область,159.4
