nameEng,nameUa,value
Kyivska oblast',Київська область,198.2
Zhytomyrska oblast',Житомирська область,208.3
Dnipropetrovska oblast',Дніпропетровська область,98.5
Vinnytska oblast',Вінницька область,173.8
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,189.8
Chernivetska oblast',Чернівецька область,175
Cherkaska oblast',Черкаська область,189.1
Khmelnytska oblast',Хмельницька область,207.9
Khersonska oblast',Херсонська область,118.7
Kharkivska oblast',Харківська область,175
Sumska oblast',Сумська область,169.2
Poltavska oblast',Полтавська область,202.3
Odeska oblast',Одеська область,99.4
Mykolaivska oblast',Миколаївська область,91.5
Luhanska oblast',Луганська область,217.3
Kirovohradska oblast',Кіровоградська область,132.3
Zaporizka oblast',Запорізька область,91.3
Lvivska oblast',Львівська область,180
Ternopilska oblast',Тернопільська область,184.3
Rivnenska oblast',Рівненська область,184.8
Volynska oblast',Волинська область,152.2
Donetska oblast',Донецька область,96.7
Ivano-Frankivska oblast',Івано-Франківська область,171
Zakarpatska oblast',Закарпатська область,158.8
