nameEng,nameUa,value
Kyivska oblast',Київська область,167.4
Zhytomyrska oblast',Житомирська область,174.8
Dnipropetrovska oblast',Дніпропетровська область,84.3
Vinnytska oblast',Вінницька область,165.6
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,160.7
Chernivetska oblast',Чернівецька область,169
Cherkaska oblast',Черкаська область,126.6
Khmelnytska oblast',Хмельницька область,165.8
Khersonska oblast',Херсонська область,115.9
Kharkivska oblast',Харківська область,141.7
Sumska oblast',Сумська область,163.4
Poltavska oblast',Полтавська область,183.6
Odeska oblast',Одеська область,130.3
Mykolaivska oblast',Миколаївська область,94.1
Luhanska oblast',Луганська область,187.8
Kirovohradska oblast',Кіровоградська область,120
Zaporizka oblast',Запорізька область,113.9
Lvivska oblast',Львівська область,167
Ternopilska oblast',Тернопільська область,168.5
Rivnenska oblast',Рівненська область,180.9
Volynska oblast',Волинська область,151.7
Donetska oblast',Донецька область,103.3
Ivano-Frankivska oblast',Івано-Франківська область,168.9
Zakarpatska oblast',Закарпатська область,154.3
