nameEng,nameUa,value
Kyivska oblast',Київська область,22.6
Zhytomyrska oblast',Житомирська область,21.3
Dnipropetrovska oblast',Дніпропетровська область,14.1
Vinnytska oblast',Вінницька область,22.9
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,26.8
Chernivetska oblast',Чернівецька область,14.7
Cherkaska oblast',Черкаська область,22.1
Khmelnytska oblast',Хмельницька область,22
Khersonska oblast',Херсонська область,36.1
Kharkivska oblast',Харківська область,20.7
Sumska oblast',Сумська область,27.6
Poltavska oblast',Полтавська область,23.8
Odeska oblast',Одеська область,28.8
Mykolaivska oblast',Миколаївська область,16.7
Luhanska oblast',Луганська область,10.7
Kirovohradska oblast',Кіровоградська область,18.4
Zaporizka oblast',Запорізька область,31.2
Lvivska oblast',Львівська область,23
Ternopilska oblast',Тернопільська область,19.3
Rivnenska oblast',Рівненська область,23.7
Volynska oblast',Волинська область,20.8
Donetska oblast',Донецька область,5.8
Ivano-Frankivska oblast',Івано-Франківська область,20.1
Zakarpatska oblast',Закарпатська область,36.8
