nameEng,nameUa,value
Kyivska oblast',Київська область,31.9
Zhytomyrska oblast',Житомирська область,27.5
Dnipropetrovska oblast',Дніпропетровська область,24.4
Vinnytska oblast',Вінницька область,34.4
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,29.9
Chernivetska oblast',Чернівецька область,27.3
Cherkaska oblast',Черкаська область,33.4
Khmelnytska oblast',Хмельницька область,36.6
Khersonska oblast',Херсонська область,18.2
Kharkivska oblast',Харківська область,28
Sumska oblast',Сумська область,32.8
Poltavska oblast',Полтавська область,30.3
Odeska oblast',Одеська область,19
Mykolaivska oblast',Миколаївська область,21.3
Luhanska oblast',Луганська область,22.9
Kirovohradska oblast',Кіровоградська область,26.9
Zaporizka oblast',Запорізька область,19.1
Lvivska oblast',Львівська область,28.6
Ternopilska oblast',Тернопільська область,36
Rivnenska oblast',Рівненська область,28.1
Volynska oblast',Волинська область,30.1
Donetska oblast',Донецька область,21.8
Ivano-Frankivska oblast',Івано-Франківська область,25.5
Zakarpatska oblast',Закарпатська область,21.4
