nameEng,nameUa,value
Kyivska oblast',Київська область,14.3
Zhytomyrska oblast',Житомирська область,18.5
Dnipropetrovska oblast',Дніпропетровська область,10.1
Vinnytska oblast',Вінницька область,14.4
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,20.6
Chernivetska oblast',Чернівецька область,20.1
Cherkaska oblast',Черкаська область,12.5
Khmelnytska oblast',Хмельницька область,24.2
Khersonska oblast',Херсонська область,30.7
Kharkivska oblast',Харківська область,18.5
Sumska oblast',Сумська область,22.6
Poltavska oblast',Полтавська область,17.1
Odeska oblast',Одеська область,12.9
Mykolaivska oblast',Миколаївська область,10.5
Luhanska oblast',Луганська область,19.2
Kirovohradska oblast',Кіровоградська область,9.6
Zaporizka oblast',Запорізька область,31.1
Lvivska oblast',Львівська область,28.2
Ternopilska oblast',Тернопільська область,26.9
Rivnenska oblast',Рівненська область,26
Volynska oblast',Волинська область,25.1
Donetska oblast',Донецька область,15.8
Ivano-Frankivska oblast',Івано-Франківська область,26.3
Zakarpatska oblast',Закарпатська область,33.4
