nameEng,nameUa,value
Kyivska oblast',Київська область,60.2
Zhytomyrska oblast',Житомирська область,72.8
Dnipropetrovska oblast',Дніпропетровська область,32.1
Vinnytska oblast',Вінницька область,71.8
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,75.3
Chernivetska oblast',Чернівецька область,51.9
Cherkaska oblast',Черкаська область,54.9
Khmelnytska oblast',Хмельницька область,79.9
Khersonska oblast',Херсонська область,66.2
Kharkivska oblast',Харківська область,34.5
Sumska oblast',Сумська область,74.7
Poltavska oblast',Полтавська область,50.4
Odeska oblast',Одеська область,33.3
Mykolaivska oblast',Миколаївська область,30.8
Luhanska oblast',Луганська область,22.2
Kirovohradska oblast',Кіровоградська область,39.7
Zaporizka oblast',Запорізька область,31.9
Lvivska oblast',Львівська область,67.7
Ternopilska oblast',Тернопільська область,79
Rivnenska oblast',Рівненська область,67.6
Volynska oblast',Волинська область,78.3
Donetska oblast',Донецька область,28.6
Ivano-Frankivska oblast',Івано-Франківська область,65.6
Zakarpatska oblast',Закарпатська область,54.2
