nameEng,nameUa,value
Kyivska oblast',Київська область,28.5
Zhytomyrska oblast',Житомирська область,24
Dnipropetrovska oblast',Дніпропетровська область,23.3
Vinnytska oblast',Вінницька область,32
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,29.1
Chernivetska oblast',Чернівецька область,28.4
Cherkaska oblast',Черкаська область,31.5
Khmelnytska oblast',Хмельницька область,31.4
Khersonska oblast',Херсонська область,19.3
Kharkivska oblast',Харківська область,24.4
Sumska oblast',Сумська область,29.4
Poltavska oblast',Полтавська область,25.7
Odeska oblast',Одеська область,23.2
Mykolaivska oblast',Миколаївська область,22.4
Luhanska oblast',Луганська область,18.3
Kirovohradska oblast',Кіровоградська область,26.3
Zaporizka oblast',Запорізька область,20
Lvivska oblast',Львівська область,25.2
Ternopilska oblast',Тернопільська область,33.4
Rivnenska oblast',Рівненська область,26.2
Volynska oblast',Волинська область,25.4
Donetska oblast',Донецька область,21.8
Ivano-Frankivska oblast',Івано-Франківська область,28.5
Zakarpatska oblast',Закарпатська область,18.7
