nameEng,nameUa,value
Kyivska oblast',Київська область,29.7
Zhytomyrska oblast',Житомирська область,20.9
Dnipropetrovska oblast',Дніпропетровська область,21.6
Vinnytska oblast',Вінницька область,31.1
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,28.4
Chernivetska oblast',Чернівецька область,26.8
Cherkaska oblast',Черкаська область,31.7
Khmelnytska oblast',Хмельницька область,30.7
Khersonska oblast',Херсонська область,16.2
Kharkivska oblast',Харківська область,27.8
Sumska oblast',Сумська область,29.1
Poltavska oblast',Полтавська область,28.6
Odeska oblast',Одеська область,21.4
Mykolaivska oblast',Миколаївська область,19.4
Luhanska oblast',Луганська область,20
Kirovohradska oblast',Кіровоградська область,24.8
Zaporizka oblast',Запорізька область,12.7
Lvivska oblast',Львівська область,23.4
Ternopilska oblast',Тернопільська область,26.9
Rivnenska oblast',Рівненська область,24.1
Volynska oblast',Волинська область,29.4
Donetska oblast',Донецька область,17.1
Ivano-Frankivska oblast',Івано-Франківська область,23.2
Zakarpatska oblast',Закарпатська область,19.7
