nameEng,nameUa,value
Kyivska oblast',Київська область,82.9
Zhytomyrska oblast',Житомирська область,84.1
Dnipropetrovska oblast',Дніпропетровська область,48.5
Vinnytska oblast',Вінницька область,86.7
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,79.5
Chernivetska oblast',Чернівецька область,63.4
Cherkaska oblast',Черкаська область,77.3
Khmelnytska oblast',Хмельницька область,94.1
Khersonska oblast',Херсонська область,83.3
Kharkivska oblast',Харківська область,53.8
Sumska oblast',Сумська область,79.8
Poltavska oblast',Полтавська область,69.8
Odeska oblast',Одеська область,43.4
Mykolaivska oblast',Миколаївська область,44.2
Luhanska oblast',Луганська область,45.1
Kirovohradska oblast',Кіровоградська область,62.9
Zaporizka oblast',Запорізька область,54.9
Lvivska oblast',Львівська область,80.9
Ternopilska oblast',Тернопільська область,91.9
Rivnenska oblast',Рівненська область,80.3
Volynska oblast',Волинська область,93.3
Donetska oblast',Донецька область,36.3
Ivano-Frankivska oblast',Івано-Франківська область,68.8
Zakarpatska oblast',Закарпатська область,57.8
