nameEng,nameUa,value
Kyivska oblast',Київська область,48.5
Zhytomyrska oblast',Житомирська область,63.1
Dnipropetrovska oblast',Дніпропетровська область,24.1
Vinnytska oblast',Вінницька область,50.6
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,77.1
Chernivetska oblast',Чернівецька область,63.1
Cherkaska oblast',Черкаська область,37.1
Khmelnytska oblast',Хмельницька область,90.4
Khersonska oblast',Херсонська область,89.4
Kharkivska oblast',Харківська область,50.9
Sumska oblast',Сумська область,82
Poltavska oblast',Полтавська область,54.8
Odeska oblast',Одеська область,26.7
Mykolaivska oblast',Миколаївська область,28.2
Luhanska oblast',Луганська область,29.2
Kirovohradska oblast',Кіровоградська область,27.6
Zaporizka oblast',Запорізька область,48.3
Lvivska oblast',Львівська область,88
Ternopilska oblast',Тернопільська область,92.6
Rivnenska oblast',Рівненська область,85.2
Volynska oblast',Волинська область,92.5
Donetska oblast',Донецька область,29
Ivano-Frankivska oblast',Івано-Франківська область,81.2
Zakarpatska oblast',Закарпатська область,48.1
