nameEng,nameUa,value
Kyivska oblast',Київська область,179.5
Zhytomyrska oblast',Житомирська область,189.3
Dnipropetrovska oblast',Дніпропетровська область,113
Vinnytska oblast',Вінницька область,171
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,151.4
Chernivetska oblast',Чернівецька область,175.7
Cherkaska oblast',Черкаська область,164.2
Khmelnytska oblast',Хмельницька область,200.7
Khersonska oblast',Херсонська область,117.9
Kharkivska oblast',Харківська область,175.2
Sumska oblast',Сумська область,185
Poltavska oblast',Полтавська область,196.6
Odeska oblast',Одеська область,148.6
Mykolaivska oblast',Миколаївська область,141.5
Luhanska oblast',Луганська область,147
Kirovohradska oblast',Кіровоградська область,148
Zaporizka oblast',Запорізька область,120.2
Lvivska oblast',Львівська область,172.2
Ternopilska oblast',Тернопільська область,168.4
Rivnenska oblast',Рівненська область,178.7
Volynska oblast',Волинська область,157.3
Donetska oblast',Донецька область,114.5
Ivano-Frankivska oblast',Івано-Франківська область,164.1
Zakarpatska oblast',Закарпатська область,157.8
